"Country","Ano","ppp","ipc","poblacion","gasto_ml","gasto_dolares","tasa_crecpob","gastopc"
"Chile",1990,134.114,23.07,13.179,2117.437,15.7883367881056,NA,1197.99201670124
"Chile",1991,158.688,28.103,13.422,2827.375,17.8171947469248,0.0184384247666742,1327.46198382691
"Chile",1992,176.586,32.446,13.737,3513.232,19.8953031384141,0.0234689316048278,1448.30043957299
"Chile",1993,192.819,36.581,13.957,4257.424,22.0798987651632,0.0160151415884109,1581.99460952663
"Chile",1994,215.512,40.773,14.172,4974.468,23.0820928764988,0.0154044565451028,1628.71104124321
"Chile",1995,235.923,44.128,14.381,5708.423,24.1961275500905,0.0147473892181766,1682.50660942149
"Chile",1996,238.749,47.375,14.585,6684.434,27.9977465874203,0.0141853834921077,1919.62609444088
"Chile",1997,241.875,50.277,14.783,7398.439,30.587861498708,0.0135755913609872,2069.12409515714
"Chile",1998,241.684,52.844,14.975,8267.452,34.2076926896278,0.0129878914969899,2284.32004605194
"Chile",1999,243.682,54.605,15.162,9112.532,37.3951789627465,0.0124874791318865,2466.37507998592
"Chile",2000,248.529,56.701,15.343,9654.583,38.8469072019764,0.0119377390845534,2531.8977515464
"Chile",2001,251.708,58.723,15.52,10526.392,41.8198547523321,0.0115362054357036,2694.57827012449
"Chile",2002,255.747,60.183,15.692,11236.27,43.9350999229707,0.0110824742268041,2799.84067824183
"Chile",2003,261.733,61.874,15.857,11752.89,44.9041198473253,0.0105149120570991,2831.81685358676
"Chile",2004,273.824,62.525,16.022,12571.042,45.909204452495,0.0104054991486409,2865.38537339253
"Chile",2005,284.754,64.434,16.183,13864.133,48.6881062250223,0.0100486830607915,3008.5958243232
"Chile",2006,309.079,66.626,16.348,15279.604,49.4359176780046,0.0101958845702279,3023.97343271377
"Chile",2007,316.431,69.567,16.518,17406.735,55.0095755472757,0.0103988255444092,3330.28063611065
"Chile",2008,310.348,75.635,16.698,20454.688,65.9088764870403,0.0108972030512169,3947.1120186274
"Chile",2009,322.075,76.769,16.881,24011.251,74.5517379492354,0.0109593963348904,4416.31052362037
"Chile",2010,345.086,77.849,17.064,25995.66,75.3309609778432,0.01084059001244,4414.61327812021
"Chile",2011,348.017,80.446,17.254,27808.727,79.9062315921349,0.0111345522737929,4631.17141486814
"Chile",2012,347.228,82.859,17.443,30010.137,86.4277564021335,0.0109539816854063,4954.86764903591
"Chile",2013,349.681,84.341,17.612,31736.551,90.7585799628805,0.00968870033824443,5153.22393611631
"Chile",2014,367.214,88.318,17.788,35290.246,96.1026703774911,0.00999318646377478,5402.66867424618
"Chile",2015,391.361,92.159,17.971,39700.059,101.441019927893,0.0102878344951653,5644.70646752505
"Chile",2016,409.978,95.651,18.167,42809.953,104.420122543161,0.0109064604084359,5747.79118969345
"Chile",2017,411.264,97.739,18.419,45712.07,111.150185768752,0.0138713051136676,6034.53964757869
"Chile",2018,408.07,100.006,18.751,48524.996,118.913411914622,0.0180248656278843,6341.71041089128
"Chile",2019,411.134,102.257,19.107,51810.554,126.018655718087,0.0189856540984479,6595.41820893322
"Chile",2020,441.762,105.37,19.458,58550.151,132.537771469705,0.0183702308054638,6811.47967261309
"Chile",2021,456.629,110.136,19.718,80374.7,176.017510933384,0.0133621132696065,8926.74261757701
"Colombia",1990,170.223,6.844,33.156,4911.7,28.8545026230298,NA,870.264887894492
"Colombia",1991,207.581,8.919,33.845,6427.5,30.9638165342686,0.0207805525395102,914.87122275871
"Colombia",1992,249.68,11.329,34.522,8585.8,34.3872156360141,0.0200029546461811,996.095696541744
"Colombia",1993,302.204,13.873,35.181,12219.899,40.4359273867983,0.0190892764034529,1149.36833480567
"Colombia",1994,371.682,17.043,35.817,16599.933,44.6616543174004,0.0180779397970496,1246.94012109893
"Colombia",1995,432.677,20.602,36.426,22394.002,51.7568578870612,0.0170030990870258,1420.87678820242
"Colombia",1996,496.569,24.888,37.019,30166.298,60.7494587861908,0.0162795805194091,1641.03457106326
"Colombia",1997,570.359,29.486,37.505,38066.131,66.7406510636283,0.0131283935276481,1779.51342657321
"Colombia",1998,647.335,34.985,38.088,44215.075,68.3032355735438,0.0155445940541261,1793.3006609311
"Colombia",1999,718.913,38.79,38.573,51176.496,71.1859376586597,0.0127336693971853,1845.4861602328
"Colombia",2000,781.394,42.366,39.152,55067.325,70.473186382286,0.0150104995722398,1799.98943559169
"Colombia",2001,813.99,45.738,39.656,61722.67,75.8273074607796,0.0128729055986923,1912.12697853489
"Colombia",2002,849.333,48.642,40.156,68426.808,80.5653471606543,0.0126084325196691,2006.3090736292
"Colombia",2003,889.773,52.105,40.661,75802.305,85.1928581784343,0.012575953780257,2095.19830251185
"Colombia",2004,929.621,55.183,41.166,81431.83,87.5968055799084,0.0124197634096552,2127.89208521373
"Colombia",2005,951.448,57.968,41.672,87495.066,91.9599032211955,0.012291697031531,2206.75521264147
"Colombia",2006,976.568,60.463,42.17,108532.618,111.136774909684,0.0119504703397966,2635.44640525691
"Colombia",2007,1000.338,63.814,42.659,120676.859,120.636084003607,0.0115959212710457,2827.91636005548
"Colombia",2008,1056.868,68.282,43.134,135478.549,128.188713254635,0.0111348132867626,2971.87168485731
"Colombia",2009,1092.818,71.145,43.609,155057.675,141.887921868051,0.0110121945564985,3253.63851195972
"Colombia",2010,1120.923,72.758,44.086,165123.438,147.31024164907,0.0109381091059184,3341.42906249307
"Colombia",2011,1168.243,75.243,44.553,187151.491,160.199111828618,0.0105929319965521,3595.69752493924
"Colombia",2012,1203.585,77.632,45.002,193904.198,161.105528899081,0.010077884766458,3579.9637549238
"Colombia",2013,1206.679,79.201,45.435,214216.202,177.525424740134,0.00962179458690726,3907.23945724956
"Colombia",2014,1220.607,81.503,45.866,238492.662,195.388574700948,0.00948607901397591,4259.98723893403
"Colombia",2015,1276.479,85.57,46.314,251686.338,197.172329509534,0.00976758383116039,4257.29432805488
"Colombia",2016,1285.21,91.993,46.83,259079.815,201.585589125513,0.0111413395517554,4304.62500801863
"Colombia",2017,1314.787,95.958,47.419,269886.614,205.270217913624,0.0125774076446723,4328.86011753989
"Colombia",2018,1343.573,99.065,48.258,342347.561,254.803840952445,0.0176933296779773,5280.03317486107
"Colombia",2019,1372.795,102.553,49.396,348538.29,253.88953922472,0.0235815823283185,5139.88054143494
"Colombia",2020,1374.846,105.142,50.372,335167.384,243.785401419504,0.0197586849137581,4839.70065551307
"Colombia",2021,1406.632,108.823,51.049,405996.127,288.629952254747,0.0134400063527356,5653.97857459984
"Costa Rica",1990,33.519,7.009,3.051,99.143,2.95781497061368,NA,969.457545268332
"Costa Rica",1991,53.176,8.425,3.122,123.388,2.32037009177072,0.0232710586692886,743.231932021372
"Costa Rica",1992,62.248,10.26,3.191,158.336,2.54363192391723,0.0221012171684818,797.126895618062
"Costa Rica",1993,67.152,11.264,3.275,188.243,2.80323743149869,0.0263240363522408,855.950360762959
"Costa Rica",1994,76.051,12.788,3.373,286.959,3.7732442702923,0.0299236641221374,1118.66121265707
"Costa Rica",1995,90.308,15.753,3.47,341.145,3.77757230810116,0.0287577823895642,1088.63755276691
"Costa Rica",1996,102.053,18.512,3.565,419.341,4.10905117928919,0.0273775216138328,1152.60902644858
"Costa Rica",1997,115.05,20.965,3.657,476.973,4.1457887874837,0.0258064516129033,1133.65840510902
"Costa Rica",1998,127.352,23.409,3.747,564.049,4.42905490294616,0.0246103363412633,1182.02692899551
"Costa Rica",1999,139.433,25.761,3.838,680.571,4.88098943578636,0.0242860955431012,1271.75337044981
"Costa Rica",2000,149.147,28.584,3.81,780.587,5.23367550135102,-0.00729546638874412,1373.66811059082
"Costa Rica",2001,160.04,31.802,3.953,907.908,5.67300674831292,0.0375328083989501,1435.11427986666
"Costa Rica",2002,173.006,34.717,4.022,1106.62,6.39642555749511,0.0174550973943841,1590.35941260445
"Costa Rica",2003,187.723,37.997,4.086,1209.598,6.44352583327562,0.0159124813525608,1576.97646433569
"Costa Rica",2004,207.222,42.676,4.152,1386.031,6.68862862051327,0.0161527165932451,1610.9413825899
"Costa Rica",2005,227.068,48.565,4.215,1587.996,6.99348212870153,0.0151734104046242,1659.18911712966
"Costa Rica",2006,248.872,54.135,4.279,1804.33,7.25003214503841,0.0151838671411626,1694.32861533966
"Costa Rica",2007,267.808,59.201,4.34,2061.753,7.6986236408173,0.0142556672119654,1773.87641493486
"Costa Rica",2008,292.787,67.148,4.404,2535.597,8.66021032354579,0.0147465437788019,1966.44194449269
"Costa Rica",2009,319.146,72.415,4.469,2969.593,9.30481033758844,0.014759309718438,2082.07884036439
"Costa Rica",2010,336.26,76.515,4.554,3623.055,10.7745643252245,0.0190199149697918,2365.95615397991
"Costa Rica",2011,344.546,80.248,4.613,3762.379,10.9198162219268,0.0129556433904261,2367.18322608429
"Costa Rica",2012,353.785,83.855,4.673,4177.721,11.8086436677643,0.0130067201387383,2526.99415103024
"Costa Rica",2013,357.828,88.242,4.733,4765.326,13.3173647674302,0.0128397175262143,2813.72591747943
"Costa Rica",2014,363.422,92.23,4.793,5230.867,14.3933691411087,0.0126769490809213,3002.99794306461
"Costa Rica",2015,364.163,92.97,4.851,5647.016,15.506836224438,0.0121009805967034,3196.62672117872
"Costa Rica",2016,352.897,92.953,4.909,6023.728,17.0693658489588,0.0119562976705834,3477.15743511077
"Costa Rica",2017,350.817,94.464,4.966,6610.915,18.8443404966122,0.0116113261356692,3794.67186802501
"Costa Rica",2018,350.144,96.563,5.022,6830.181,19.5067772116615,0.0112766814337495,3884.2646777502
"Costa Rica",2019,352.82,98.587,5.075,8222.614,23.3054078566975,0.0105535643170052,4592.1985924527
"Costa Rica",2020,349.163,99.301,5.128,8146.61,23.3318249642717,0.0104433497536947,4549.88786354752
"Costa Rica",2021,342.033,101.016,5.18,8378.698,24.4967532372607,0.0101404056162246,4729.10294155613
"Mexico",1990,1.114,8.63,84.17,198.143,177.866247755835,NA,2113.17865933034
"Mexico",1991,1.33,10.581,85.749,223.736,168.222556390977,0.0187596530830461,1961.80196143369
"Mexico",1992,1.493,12.223,87.312,251.729,168.606162089752,0.0182276178147851,1931.07662279815
"Mexico",1993,1.773,13.417,88.851,301.304,169.940214326001,0.0176264431006048,1912.64267510778
"Mexico",1994,1.889,14.354,90.363,353.845,187.318687136051,0.0170172536043489,2072.95781609786
"Mexico",1995,2.562,19.387,91.844,460.123,179.595238095238,0.0163894514347687,1955.43789572795
"Mexico",1996,3.184,26.046,93.295,683.261,214.592022613065,0.0157985279386788,2300.14494467083
"Mexico",1997,3.717,31.411,94.721,859.547,231.247511433952,0.0152848491344659,2441.35420270006
"Mexico",1998,4.242,36.41,96.117,992.023,233.857378595002,0.0147380200800244,2433.04908179617
"Mexico",1999,4.857,42.442,97.483,1215.264,250.208770846201,0.0142118459793792,2566.69132921844
"Mexico",2000,5.279,46.468,98.785,1360.275,257.676643303656,0.0133561749228071,2608.45921246805
"Mexico",2001,5.475,49.426,100.105,1453.7,265.51598173516,0.0133623525838944,2652.37482378662
"Mexico",2002,5.687,51.916,101.494,1547.351,272.085633901881,0.0138754307976625,2680.80511066547
"Mexico",2003,5.802,54.278,102.89,1776.228,306.140641158221,0.0137545076556249,2975.41686420664
"Mexico",2004,6.101,56.826,104.272,1892.149,310.1375184396,0.0134318203907087,2974.31255216741
"Mexico",2005,6.263,59.094,105.669,2115.508,337.778700303369,0.0133976522940003,3196.57326466011
"Mexico",2006,6.463,61.241,107.155,2399.339,371.242302336376,0.0140627809480549,3464.53550778196
"Mexico",2007,6.658,63.672,108.745,2713.05,407.487233403424,0.0148383183239233,3747.18132698905
"Mexico",2008,6.936,66.938,110.405,3426.112,493.960784313726,0.0152650696583752,4474.07983618247
"Mexico",2009,7.163,70.483,112.095,3380.623,471.956303224906,0.0153072777501018,4210.32430728316
"Mexico",2010,7.4,73.411,113.749,3699.063,499.873378378378,0.0147553414514474,4394.52987172088
"Mexico",2011,7.673,75.91,115.367,4064.774,529.750293236022,0.0142243008729748,4591.87023356785
"Mexico",2012,7.859,79.031,116.936,4462.807,567.859396869831,0.0136000762783119,4856.15547709714
"Mexico",2013,7.884,82.038,118.454,4521.381,573.488203957382,0.0129814599439009,4841.44228103215
"Mexico",2014,8.045,85.335,119.936,4887.991,607.581230577999,0.0125111857767572,5065.87872346917
"Mexico",2015,8.326,87.655,121.348,5106.615,613.333533509488,0.0117729455709712,5054.33574108752
"Mexico",2016,8.446,90.127,122.715,5505.755,651.877219985792,0.0112651217984641,5312.12337518471
"Mexico",2017,8.871,95.571,124.042,5638.15,635.57096156014,0.0108136739599887,5123.83677754422
"Mexico",2018,9.093,100.251,125.328,6036.851,663.900912790058,0.0103674561841958,5297.30716831082
"Mexico",2019,9.303,103.894,126.578,6346.53,682.202515317639,0.00997382867356067,5389.58203888226
"Mexico",2020,9.561,107.425,127.792,6691.984,699.925112435938,0.00959092417323704,5477.06517180996
"Mexico",2021,9.844,113.54,128.972,7119.26,723.208045509955,0.00923375485163391,5607.4810463508
